lat,lon,noise
1.813006583  ,  -78.81388463 , 0.6
1.827576357  ,  -78.79985466 , 0.6
1.485276115  ,  -78.8008331 , 0.6
1.571784835  ,  -78.92481351 , 0.6
1.671825734  ,  -78.98392121 , 0.6
1.810867259  ,  -78.84510275 , 0.6
1.811733888  ,  -78.76955246 , 0.6
1.794321524  ,  -78.75763751 , 0.6
1.761930399  ,  -78.71715262 , 0.6
1.782751556  ,  -78.65792258 , 0.6
1.751344899  ,  -78.56841559 , 0.6
1.857432376  ,  -78.53956863 , 0.6
1.977830035  ,  -78.58920029 , 0.6
2.02366566  ,  -78.66884176 , 0.6
2.162976768  ,  -78.70772698 , 0.6
2.316833132  ,  -78.63786671 , 0.6
2.459156482  ,  -78.55588164 , 0.6
2.573579654  ,  -78.41473817 , 0.6
2.594260432  ,  -78.32697686 , 0.6
2.627515527  ,  -78.22712066 , 0.6
2.669986815  ,  -78.13968082 , 0.6
2.651769963  ,  -78.01113727 , 0.6
2.695306117  ,  -77.85856644 , 0.6
2.758689765  ,  -77.78100314 , 0.6
2.871547458  ,  -77.70363612 , 0.6
2.983904624  ,  -77.69751107 , 0.6
3.146616175  ,  -77.57259682 , 0.6
3.246954211  ,  -77.5381241 , 0.6
3.395222651  ,  -77.39548481 , 0.6
3.497343774  ,  -77.35336537 , 0.6
3.608051988  ,  -77.19739731 , 0.6
3.741991425  ,  -77.1972652 , 0.6
3.851165118  ,  -77.09756634 , 0.6
3.904949252  ,  -77.08727242 , 0.6
3.831560138  ,  -77.24494607 , 0.6
3.943480272  ,  -77.31473456 , 0.6
4.028224751  ,  -77.20747713 , 0.6
4.057630315  ,  -77.26367653 , 0.6
3.941657725  ,  -77.36722507 , 0.6
4.045788711  ,  -77.44787616 , 0.6
4.199428673  ,  -77.53051292 , 0.6
4.280271154  ,  -77.4533878 , 0.6
4.359981127  ,  -77.38736244 , 0.6
4.507801309  ,  -77.33982319 , 0.6
4.68198256  ,  -77.30797314 , 0.6
4.811513849  ,  -77.32625652 , 0.6
4.996689666  ,  -77.37664943 , 0.6
5.177626162  ,  -77.39404647 , 0.6
5.323930007  ,  -77.39893045 , 0.6
5.441633523  ,  -77.38986424 , 0.6
5.481415965  ,  -77.53663326 , 0.6
5.614538389  ,  -77.43306423 , 0.6
5.685575429  ,  -77.28885803 , 0.6
5.856077725  ,  -77.29500037 , 0.6
6.036388631  ,  -77.34779429 , 0.6
6.093487227  ,  -77.42432357 , 0.6
6.283835243  ,  -77.46934257 , 0.6
6.30628403  ,  -77.38030616 , 0.6
6.416582139  ,  -77.36549806 , 0.6
6.581396803  ,  -77.35043168 , 0.6
6.704064705  ,  -77.43872316 , 0.6
6.709299659  ,  -77.53694552 , 0.6
6.86502041  ,  -77.6597169 , 0.6
6.956062773  ,  -77.67387301 , 0.6
7.054666747  ,  -77.71002568 , 0.6
7.189490868  ,  -77.85386512 , 0.6
7.218775191  ,  -77.88283741 , 0.6
